[INFO][main][2018-03-28 17:24:14][us.codecraft.webmagic.Spider] - Spider mm.taobao.com started!
 [INFO][pool-1-thread-5][2018-03-28 17:25:08][us.codecraft.webmagic.downloader.HttpClientDownloader] - downloading page success https://mm.taobao.com/json/request_top_list.htm?page=93
 [INFO][pool-1-thread-3][2018-03-28 17:25:08][us.codecraft.webmagic.downloader.HttpClientDownloader] - downloading page success https://mm.taobao.com/self/info/model_info_show.htm?user_id=687471686
 [INFO][pool-1-thread-2][2018-03-28 17:25:08][us.codecraft.webmagic.downloader.HttpClientDownloader] - downloading page success https://mm.taobao.com/json/request_top_list.htm?page=94
 [INFO][pool-1-thread-8][2018-03-28 17:25:08][us.codecraft.webmagic.downloader.HttpClientDownloader] - downloading page success https://mm.taobao.com/self/info/model_info_show.htm?user_id=405095521
 [INFO][pool-1-thread-4][2018-03-28 17:25:08][us.codecraft.webmagic.downloader.HttpClientDownloader] - downloading page success https://mm.taobao.com/json/request_top_list.htm?page=95
 [INFO][pool-1-thread-9][2018-03-28 17:25:08][us.codecraft.webmagic.downloader.HttpClientDownloader] - downloading page success https://mm.taobao.com/json/request_top_list.htm?page=97
 [INFO][pool-1-thread-6][2018-03-28 17:25:08][us.codecraft.webmagic.downloader.HttpClientDownloader] - downloading page success https://mm.taobao.com/json/request_top_list.htm?page=98
 [INFO][pool-1-thread-10][2018-03-28 17:25:08][us.codecraft.webmagic.downloader.HttpClientDownloader] - downloading page success https://mm.taobao.com/json/request_top_list.htm?page=99
 [INFO][pool-1-thread-1][2018-03-28 17:25:08][us.codecraft.webmagic.downloader.HttpClientDownloader] - downloading page success https://mm.taobao.com/json/request_top_list.htm?page=96
 [INFO][pool-1-thread-7][2018-03-28 17:25:13][us.codecraft.webmagic.downloader.HttpClientDownloader] - downloading page success https://mm.taobao.com/self/info/model_info_show.htm?user_id=631300490
 [INFO][pool-1-thread-5][2018-03-28 17:25:13][us.codecraft.webmagic.downloader.HttpClientDownloader] - downloading page success https://mm.taobao.com/self/info/model_info_show.htm?user_id=414457129
 [INFO][pool-1-thread-2][2018-03-28 17:25:13][us.codecraft.webmagic.downloader.HttpClientDownloader] - downloading page success https://mm.taobao.com/self/info/model_info_show.htm?user_id=141234233
 [INFO][pool-1-thread-4][2018-03-28 17:25:13][us.codecraft.webmagic.downloader.HttpClientDownloader] - downloading page success https://mm.taobao.com/self/info/model_info_show.htm?user_id=96614110
 [INFO][pool-1-thread-9][2018-03-28 17:25:13][us.codecraft.webmagic.downloader.HttpClientDownloader] - downloading page success https://mm.taobao.com/self/info/model_info_show.htm?user_id=37448401
 [INFO][pool-1-thread-6][2018-03-28 17:25:13][us.codecraft.webmagic.downloader.HttpClientDownloader] - downloading page success https://mm.taobao.com/self/info/model_info_show.htm?user_id=74386764
 [INFO][pool-1-thread-10][2018-03-28 17:25:14][us.codecraft.webmagic.downloader.HttpClientDownloader] - downloading page success https://mm.taobao.com/self/info/model_info_show.htm?user_id=523216808
 [INFO][pool-1-thread-1][2018-03-28 17:25:14][us.codecraft.webmagic.downloader.HttpClientDownloader] - downloading page success https://mm.taobao.com/self/info/model_info_show.htm?user_id=46599595
 [INFO][pool-1-thread-8][2018-03-28 17:25:15][us.codecraft.webmagic.downloader.HttpClientDownloader] - downloading page success https://mm.taobao.com/self/info/model_info_show.htm?user_id=76062409
 [INFO][pool-1-thread-3][2018-03-28 17:25:18][us.codecraft.webmagic.downloader.HttpClientDownloader] - downloading page success https://mm.taobao.com/self/info/model_info_show.htm?user_id=755229016
 [INFO][pool-1-thread-4][2018-03-28 17:25:20][us.codecraft.webmagic.downloader.HttpClientDownloader] - downloading page success https://mm.taobao.com/self/info/model_info_show.htm?user_id=68985024
 [INFO][pool-1-thread-7][2018-03-28 17:25:22][us.codecraft.webmagic.downloader.HttpClientDownloader] - downloading page success https://mm.taobao.com/self/info/model_info_show.htm?user_id=690339550
